'motivo','arruamento','troco','entidade','tipo_de_condicionamento','data_de_início','hora_de_inicio','data_de_fim','hora_de_fim','observacoes','registo_data','coordenada_x','coordenada_y','registo_hora','ultima_modificacao_data','ultima_modificacao_hora','objectid','esriGeometryPoint'
'Outro motivo','Rua de S. João Novo','14','','Ocupação do passeio',1683068400000,36000000,1683068400000,81900000,'verificar ramal aos 30',1683068400000,-8.616718,41.14196,36180000,1683068400000,36360000,107872,'-40598.423999999606,163759.1503000001'
'Avaria de CCTV','','PMV03 - Rua Faria Guimarães / Rua do Dr. Pedro Dias','','',1683068400000,36799000,'','',' ',1683068400000,-8.60636,41.16852,36799000,1683068400000,36799000,107873,'-39712.69020000001,166703.73470000012'
'Avaria de iluminação pública','Travessa de Nova Sintra','295','','Ocupação do passeio',1683068400000,45480000,1683068400000,81900000,'',1683068400000,-8.587561,41.14692,45540000,1683068400000,45660000,107875,'-38147.56989999957,164296.5435000006'
'Aluimento','Rua de S. Roque da Lameira','2298','','Estreitamento',1683068400000,51000000,1683068400000,81900000,'',1683068400000,-8.58933,41.15715,51060000,1683068400000,51120000,107880,'-38290.08810000035,165433.28389999934'
'Outro motivo','Cais da Estiva','com a Praça da Ribeira','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Reparação de pavimento no passeio',1683154800000,-8.613163,41.14039,-720000,1683154800000,-600000,107887,'-40300.86760000041,163583.29509999996'
'Rotura de conduta','Avenida dos Combatentes da Grande Guerra','c/ R. Bartolomeus Dias','','Ocupação do passeio',1683068400000,50580000,1683068400000,81900000,'',1683068400000,-8.591874,41.16448,50520000,1683068400000,50580000,107879,'-38499.34289999959,166248.94009999934'
'Outro motivo','Rua da Boa Nova','n.126','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'reparação de pavimento na via',1683154800000,-8.624316,41.14965,-240000,1683154800000,-180000,109063,'-41231.46609999978,164616.82210000078'
'Outro motivo','Rua da Boa Viagem','sem numero','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Substituição de tampa de CI na via',1683154800000,-8.633216,41.14797,-120000,1683154800000,-60000,107891,'-41979.67150000022,164434.43469999928'
'Outro motivo','Rua da Pena','n.193','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'reparação de pavimento na via',1683154800000,-8.63307,41.15054,-300000,1683154800000,-240000,107890,'-41965.72360000007,164719.25759999998'
'Outro motivo','Travessa do Campo do Rou','n.10','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'reparação de pavimento na via',1683154800000,-8.630736,41.14713,-540000,1683154800000,-420000,107888,'-41771.99739999983,164339.8833000006'
'Acidente rodoviário','Via de Cintura Interna','viaduto do amial','IP','Estreitamento',1683068400000,45900000,1683068400000,49500000,'',1683068400000,-8.613549,41.17455,45960000,1683068400000,45960000,107876,'-40312.29000000004,167376.83329999988'
'Outro motivo','Avenida de Montevideu','com a rua do Funchal','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Reparação de aqueduto na via',1683154800000,-8.685705,41.16292,240000,1683154800000,360000,109064,'-46375.44550000042,166121.16640000098'
'Aluimento','Rua do Conde de Ferreira','','','Ocupação do passeio',1573516800000,41400000,1573516800000,81900000,'',1573516800000,-8.599764,41.14733,41880000,1573516800000,41880000,199,'-39171.79839999974,164347.84280000062'
'Outro motivo','Rua das Oliveiras','n.124','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Abertura de sonda no passeio',1683154800000,-8.61479,41.14982,120000,1683154800000,180000,107893,'-40431.66440000012,164630.94150000045'
'Outro motivo','Rua do Bonfim','com Barros Lima','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'Abertura de sonda na via',1683154800000,-8.594197,41.1508,-2209161600000,1683154800000,120000,107892,'-38702.424100000455,164730.55929999967'
'Outro motivo','Rua de S. João Novo','n.14','','Estreitamento',1683154800000,27000000,1683154800000,81900000,'reparação de pavimento no passeio',1683154800000,-8.616729,41.14194,-420000,1683154800000,-360000,107889,'-40599.337299999825,163756.91210000054'
